item_name,item_brand,item_main_category,item_sub_category,Best_Profit_GBP_Per_Item,Best_Profit_Margin_Per_Item
powder,Bobbi Brown,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,12.8,0.436
wrist bag,U.S. Polo Assn.,Shoes & Bags,Bags,16.8,0.436
shirt,U.S. Polo Assn.,Shoes & Bags,Bags,11.8,0.436
laptop bag,U.S. Polo Assn.,Shoes & Bags,Bags,10.9,0.436
jacket,Columbia,Outerwear,Jackets,61.0,0.436
face cream,Bobbi Brown,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,12.600000000000001,0.436
tote bag,U.S. Polo Assn.,Shoes & Bags,Bags,10.9,0.436
postman bag,The North Face,Shoes & Bags,Bags,10.9,0.436
ballet flats,Pierre Cardin,Shoes & Bags,Shoes,8.7,0.43499999999999994
brow gel,Bobbi Brown,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,8.7,0.43499999999999994
shorts,Pierre Cardin,Bottoms,Shorts,13.7,0.43499999999999994
cross body bag,Pierre Cardin,Shoes & Bags,Bags,19.1,0.43499999999999994
shoulder bag,Pierre Cardin,Shoes & Bags,Bags,19.5,0.43499999999999994
boots,U.S. Polo Assn.,Shoes & Bags,Shoes,15.0,0.43499999999999994
jumper,Lee,Suits & Tops,Jumpers,10.1,0.43499999999999994
after shave,Bvlgari,Cosmetics & Makeup & Selfcare,Selfcare,55.0,0.43499999999999994
coat,Wrangler,Outerwear,Jackets,59.2,0.43499999999999994
bowl,Zwilling,Home & Decoration,Home & Decoration,8.7,0.43499999999999994
face mask,Bobbi Brown,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,8.7,0.43499999999999994
pot set,Zwilling,Home & Decoration,Home & Decoration,108.6,0.43470588235294122
makeup bag,Pierre Cardin,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,15.2,0.43428571428571427
flipflops,Havaianas,Shoes & Bags,Flipflops & Slippers,10.3,0.43333333333333335
thermos flask,National Geographic,Home & Decoration,Termos & Bottles,8.6,0.43333333333333335
dress,Lee Cooper,Suits & Tops,Dresses & Jumpsuits,18.5,0.43333333333333335
capri pants,Nike,Bottoms,Shorts,8.2,0.43333333333333335
postman bag,Pierre Cardin,Shoes & Bags,Bags,12.7,0.43333333333333335
hand bag,Pierre Cardin,Shoes & Bags,Bags,21.6,0.43333333333333335
espadrille,Pierre Cardin,Shoes & Bags,Shoes,6.5,0.43333333333333335
capri pants,Under Armour,Bottoms,Shorts,12.2,0.43333333333333335
clutch,Guess,Shoes & Bags,Bags,13.0,0.43333333333333335
laptop bag,Pierre Cardin,Shoes & Bags,Bags,18.9,0.43333333333333335
shoulder bag,Armani Exchange,Shoes & Bags,Bags,65.0,0.43333333333333335
wellies,Guess,Shoes & Bags,Shoes,26.0,0.43333333333333335
wallet,National Geographic,Accessories,Wallets & Sleeves,2.6,0.43333333333333335
face mask,Nautica,Home & Decoration,Home & Decoration,1.3,0.43333333333333335
makeup bag,Clinique,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,3.9000000000000004,0.43333333333333335
hand bag,Armani Exchange,Shoes & Bags,Bags,82.7,0.43310344827586206
postman bag,Armani Exchange,Shoes & Bags,Bags,51.900000000000006,0.433
dinner set,Pierre Cardin,Home & Decoration,Home & Decoration,131.8,0.43285714285714283
clutch,Armani Exchange,Shoes & Bags,Bags,54.099999999999994,0.43279999999999996
backpack,George Hogg,Shoes & Bags,Bags,23.8,0.43272727272727274
body spray,Tom Ford,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,23.8,0.43272727272727274
backpack,Armani Exchange,Shoes & Bags,Bags,64.3,0.43272727272727274
concealer,Shiseido,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,17.3,0.4325
serum,Shiseido,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,108.6,0.4325
brush,Shiseido,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,17.3,0.4325
running shoes,Guess,Shoes & Bags,Shoes,17.3,0.4325
backpack,Pierre Cardin,Shoes & Bags,Bags,29.200000000000003,0.43200000000000005
tote bag,Pierre Cardin,Shoes & Bags,Bags,12.399999999999999,0.43200000000000005
hair conditioner,Shiseido,Cosmetics & Makeup & Selfcare,Selfcare,10.8,0.43200000000000005
eye cream,La Mer,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,47.5,0.43181818181818182
jumper,National Geographic,Suits & Tops,Jumpers,15.100000000000001,0.43142857142857149
fitness gloves,adidas,Accessories,Scarves & Winter Hats & Gloves,15.100000000000001,0.43142857142857149
tote bag,Love Moschino,Shoes & Bags,Bags,68.9,0.43111111111111106
espadrille,Calvin Klein,Shoes & Bags,Shoes,28.9,0.43090909090909091
body oil,Clarins,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,23.7,0.43090909090909091
cross body bag,Love Moschino,Shoes & Bags,Bags,75.4,0.43062500000000004
jumpsuit,Calvin Klein,Suits & Tops,Dresses & Jumpsuits,36.6,0.43058823529411766
hobo bag,Love Moschino,Shoes & Bags,Bags,90.800000000000011,0.43052631578947365
sneaker,Love Moschino,Shoes & Bags,Shoes,88.300000000000011,0.43052631578947365
jumper,Lee Cooper,Suits & Tops,Jumpers,11.5,0.43
brow liner,Bobbi Brown,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,12.8,0.43
flip flops,Havaianas,Shoes & Bags,Shoes,13.399999999999999,0.43
