items_ordered,num_orders
jeans & sleeveless,14
hoodie & jumper & shirt,14
coat & sandals,14
boots & sweatshirt & t-shirt,14
coat & gaiter,14
lifestyle shoes & shirt & sweatshirt,14
belt & dress,14
sneakers & wellies,14
coat & trench coat,14
basketball shoes & lifestyle shoes,14
dress & joggers & jumper,14
heeled boots & jumper,14
gloves & t-shirt,14
boots & puffer coat,14
shirt & sleeveless & t-shirt,14
skirt & t-shirt & trousers,14
shoulder bag & waist bag,14
flip flops & flipflops,14
jeans & polo shirt & shorts,14
jumper & socks & sweatshirt,14
jumper & shirt & skirt,14
bikini & sandals,14
boots & jumper & shirt,14
hiking shoes & tank top,14
cardigan & shirt & t-shirt,14
decoration accessories & frame,14
joggers & shirt & trousers,14
dress & jumper & trousers,14
joggers & wallet,14
wallet & wrist bag,14
running shoes & tank top,14
hoodie & sweatshirt & trousers,14
jumper & pullover & sweatshirt,14
backpack & tote bag,14
eyeliner & lipstick,14
pullover & trousers,14
lifestyle shoes & swim shorts,14
jeans & swim shorts,14
socks & tank top,14
boots & coat & jumper,14
scarf & sweatshirt & t-shirt,14
lipstick & moisturiser,14
cardigan & denim jacket,14
boxers & sleeveless,14
belt & scarf,14
sunglasses & t-shirt,14
boots & gloves,14
belt & wallet,14
polo shirt & sweatshirt & trousers,14
boxers & slippers,14
sleeveless & socks,14
blouse & jumpsuit,13
clutch & dress,13
flipflops & leggings,13
boots & boxers,13
heeled shoes & sweatshirt,13
clutch & sneakers,13
joggers & shirt & sneakers,13
shorts & vest,13
t-shirt & trench coat,13
belt & boxers,13
dress shoes & joggers,13
jumper & shorts & t-shirt,13
coat & shirt & t-shirt,13
