date,device_category,registered_or_guest,no_visits,no_view_item,no_add_to_cart,no_purchases,no_transactions,conversion_rate
2020-01-29,mobile,guest,19785,19779,1116,28,28,0.0014152135456153652
2020-01-29,mobile,registered,2475,2459,407,81,81,0.03272727272727273
2020-01-29,tablet,guest,334,334,29,1,1,0.0029940119760479044
2020-01-29,tablet,registered,48,47,6,4,4,0.083333333333333329
2020-01-30,,guest,21759,0,0,0,0,0.0
2020-01-30,desktop,guest,8294,8284,864,44,44,0.0053050397877984082
2020-01-30,desktop,registered,3078,3044,688,144,144,0.046783625730994149
2020-01-30,mobile,guest,17589,17586,998,42,42,0.0023878560463926318
2020-01-30,mobile,registered,2503,2491,447,81,81,0.032361166600079906
2020-01-30,tablet,guest,301,301,25,0,0,0.0
2020-01-30,tablet,registered,57,58,18,5,5,0.08771929824561403
2020-01-31,,guest,28737,0,0,0,0,0.0
2020-01-31,desktop,guest,10642,10624,966,43,43,0.0040405938733320806
2020-01-31,desktop,registered,3594,3562,749,190,190,0.052865887590428491
2020-01-31,mobile,guest,21401,21390,1177,39,39,0.0018223447502453156
2020-01-31,mobile,registered,2854,2834,499,100,100,0.0350385423966363
2020-01-31,tablet,guest,307,307,25,0,0,0.0
2020-01-31,tablet,registered,58,58,13,2,2,0.034482758620689655
2020-02-01,,guest,24865,0,0,0,0,0.0
2020-02-01,desktop,guest,5663,5658,453,29,29,0.0051209606215786687
2020-02-01,desktop,registered,1774,1767,352,84,84,0.047350620067643741
2020-02-01,mobile,guest,23840,23832,1258,34,34,0.0014261744966442952
2020-02-01,mobile,registered,2938,2929,461,57,57,0.019400953029271615
2020-02-01,tablet,guest,381,381,35,0,0,0.0
2020-02-01,tablet,registered,49,49,9,4,4,0.081632653061224483
2020-02-02,,guest,23454,0,0,0,0,0.0
2020-02-02,desktop,guest,4997,4989,402,27,27,0.0054032419451671004
2020-02-02,desktop,registered,1531,1520,282,77,77,0.050293925538863485
2020-02-02,mobile,guest,23687,23677,1247,45,45,0.0018997762485751678
2020-02-02,mobile,registered,2715,2699,441,84,84,0.030939226519337018
2020-02-02,tablet,guest,451,451,29,2,2,0.004434589800443459
2020-02-02,tablet,registered,37,37,9,0,0,0.0
2020-02-03,,guest,25901,0,0,0,0,0.0
2020-02-03,desktop,guest,10701,10688,841,50,50,0.0046724605177086258
